epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
95,20078.8,1.15839,0.50763,0.83443,0.84479,0.84728,0.84046,0.50259,1.57263,0.67902,0.9215,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
96,20290.5,1.15215,0.50879,0.83663,0.8475,0.84749,0.84448,0.50408,1.57202,0.6783,0.92162,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625
97,20503.9,1.15188,0.50558,0.83435,0.844,0.85094,0.84516,0.5034,1.57249,0.67814,0.92154,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
98,20712.2,1.14843,0.50408,0.83415,0.84516,0.84992,0.84419,0.50238,1.57207,0.67737,0.92226,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975
99,20923.2,1.14662,0.50294,0.83405,0.84838,0.8453,0.84109,0.50204,1.57347,0.6774,0.92305,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
100,21135.2,1.14642,0.50113,0.83056,0.85196,0.84353,0.83957,0.50044,1.57428,0.67795,0.92315,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
101,21345.2,1.13497,0.49824,0.83392,0.85038,0.84306,0.83956,0.4994,1.57505,0.67899,0.92304,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
102,21557.2,1.13601,0.49839,0.83017,0.8516,0.84169,0.83901,0.49915,1.57489,0.6798,0.92304,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675
103,21771.3,1.12737,0.49349,0.83007,0.84608,0.84292,0.83769,0.4995,1.57505,0.68056,0.92287,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
104,21983.8,1.12505,0.49386,0.83294,0.84583,0.84257,0.837,0.49888,1.57458,0.68075,0.92289,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025
105,22196,1.12298,0.49056,0.83162,0.84344,0.8451,0.83947,0.4998,1.57534,0.68061,0.92292,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
106,22407,1.11797,0.48975,0.82933,0.84237,0.84393,0.83771,0.49981,1.57461,0.68046,0.92274,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
107,22618.1,1.11448,0.48896,0.82862,0.84254,0.84205,0.83805,0.4996,1.57469,0.6806,0.92282,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
108,22830.8,1.11509,0.48756,0.82841,0.84519,0.84071,0.83767,0.49956,1.57317,0.67998,0.92272,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725
109,23042.9,1.10587,0.48515,0.82851,0.84662,0.84125,0.83864,0.49987,1.57306,0.67998,0.92274,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
110,23254,1.0997,0.48104,0.82446,0.84718,0.8428,0.83975,0.49971,1.5736,0.67949,0.92328,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075
111,23509.6,1.09872,0.47984,0.8264,0.84736,0.84226,0.83938,0.50036,1.57405,0.67963,0.92348,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
112,23713.1,1.09924,0.48003,0.82569,0.84779,0.84332,0.83855,0.5003,1.57345,0.67907,0.9237,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
113,23921,1.09406,0.47624,0.8258,0.84602,0.8448,0.8392,0.50111,1.57272,0.67902,0.92373,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
114,24128.3,1.08796,0.47668,0.8237,0.84543,0.8458,0.8387,0.50082,1.57228,0.67861,0.92354,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775
115,24338.2,1.07909,0.47348,0.82411,0.84598,0.84602,0.83952,0.5023,1.57171,0.67827,0.92346,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
116,24514.4,1.08064,0.47288,0.82546,0.84446,0.84652,0.83865,0.50225,1.57237,0.67849,0.92389,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125
117,24716.3,1.07715,0.4701,0.82335,0.84539,0.84642,0.84012,0.50255,1.57227,0.67859,0.92398,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
118,24921.3,1.07567,0.46921,0.82226,0.84749,0.84523,0.83916,0.50243,1.57285,0.67937,0.92414,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
119,25127.8,1.06894,0.46652,0.82093,0.84556,0.84736,0.83998,0.50263,1.57263,0.67902,0.92403,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
120,25336,1.06783,0.46461,0.822,0.84377,0.84753,0.83904,0.5024,1.57232,0.67885,0.9241,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825
